"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"08.08.2023 13:45 - 08.08.2023 14:00","58339","57771"
"08.08.2023 14:00 - 08.08.2023 14:15","58074","57732"
"08.08.2023 14:15 - 08.08.2023 14:30","57779","57278"
"08.08.2023 14:30 - 08.08.2023 14:45","57443","57118"
"08.08.2023 14:45 - 08.08.2023 15:00","57305","56626"
"08.08.2023 15:00 - 08.08.2023 15:15","56856","57115"
"08.08.2023 15:15 - 08.08.2023 15:30","56404","56492"
"08.08.2023 15:30 - 08.08.2023 15:45","56226","56533"
"08.08.2023 15:45 - 08.08.2023 16:00","55718","55925"
"08.08.2023 16:00 - 08.08.2023 16:15","55533","55223"
"08.08.2023 16:15 - 08.08.2023 16:30","54996","55148"
"08.08.2023 16:30 - 08.08.2023 16:45","54885","54953"
"08.08.2023 16:45 - 08.08.2023 17:00","54495","54913"
"08.08.2023 17:00 - 08.08.2023 17:15","54244","55625"
"08.08.2023 17:15 - 08.08.2023 17:30","53947","55489"
"08.08.2023 17:30 - 08.08.2023 17:45","54106","54776"
"08.08.2023 17:45 - 08.08.2023 18:00","54302","54998"
"08.08.2023 18:00 - 08.08.2023 18:15","54062","54848"
"08.08.2023 18:15 - 08.08.2023 18:30","53802","54669"
"08.08.2023 18:30 - 08.08.2023 18:45","53896","54750"
"08.08.2023 18:45 - 08.08.2023 19:00","53934","54716"
"08.08.2023 19:00 - 08.08.2023 19:15","53919","55167"
"08.08.2023 19:15 - 08.08.2023 19:30","53406","54896"
"08.08.2023 19:30 - 08.08.2023 19:45","53050","54674"
"08.08.2023 19:45 - 08.08.2023 20:00","52571","54438"
"08.08.2023 20:00 - 08.08.2023 20:15","51733","54149"
"08.08.2023 20:15 - 08.08.2023 20:30","50984","53499"
"08.08.2023 20:30 - 08.08.2023 20:45","50407","53014"
"08.08.2023 20:45 - 08.08.2023 21:00","49963","52584"
"08.08.2023 21:00 - 08.08.2023 21:15","49541","52240"
"08.08.2023 21:15 - 08.08.2023 21:30","49058","51892"
"08.08.2023 21:30 - 08.08.2023 21:45","48501","51255"
"08.08.2023 21:45 - 08.08.2023 22:00","47494","50458"
"08.08.2023 22:00 - 08.08.2023 22:15","46831","49696"
"08.08.2023 22:15 - 08.08.2023 22:30","45925","48590"
"08.08.2023 22:30 - 08.08.2023 22:45","44975","47689"
"08.08.2023 22:45 - 08.08.2023 23:00","43962","46803"
"08.08.2023 23:00 - 08.08.2023 23:15","43291","45768"
"08.08.2023 23:15 - 08.08.2023 23:30","42521","45074"
"08.08.2023 23:30 - 08.08.2023 23:45","41824","44494"
"08.08.2023 23:45 - 09.08.2023 00:00","41347","43977"
"09.08.2023 00:00 - 09.08.2023 00:15","40215","42423"
"09.08.2023 00:15 - 09.08.2023 00:30","39728","42010"
"09.08.2023 00:30 - 09.08.2023 00:45","39196","41297"
"09.08.2023 00:45 - 09.08.2023 01:00","38755","40859"
"09.08.2023 01:00 - 09.08.2023 01:15","38221","40853"
"09.08.2023 01:15 - 09.08.2023 01:30","38054","40722"
"09.08.2023 01:30 - 09.08.2023 01:45","37688","40380"
"09.08.2023 01:45 - 09.08.2023 02:00","37375","39970"
"09.08.2023 02:00 - 09.08.2023 02:15","37368","39840"
"09.08.2023 02:15 - 09.08.2023 02:30","37213","39138"
"09.08.2023 02:30 - 09.08.2023 02:45","37107","39386"
"09.08.2023 02:45 - 09.08.2023 03:00","37209","39275"
"09.08.2023 03:00 - 09.08.2023 03:15","37465","39229"
"09.08.2023 03:15 - 09.08.2023 03:30","37583","39305"
"09.08.2023 03:30 - 09.08.2023 03:45","37681","39451"
"09.08.2023 03:45 - 09.08.2023 04:00","37806","39621"
"09.08.2023 04:00 - 09.08.2023 04:15","38416","39935"
"09.08.2023 04:15 - 09.08.2023 04:30","38826","40306"
"09.08.2023 04:30 - 09.08.2023 04:45","39216","40866"
"09.08.2023 04:45 - 09.08.2023 05:00","39888","41482"
"09.08.2023 05:00 - 09.08.2023 05:15","40925","42311"
"09.08.2023 05:15 - 09.08.2023 05:30","41525","42843"
"09.08.2023 05:30 - 09.08.2023 05:45","42504","43659"
"09.08.2023 05:45 - 09.08.2023 06:00","43329","45015"
"09.08.2023 06:00 - 09.08.2023 06:15","44899","47265"
"09.08.2023 06:15 - 09.08.2023 06:30","46388","48933"
"09.08.2023 06:30 - 09.08.2023 06:45","47399","50338"
"09.08.2023 06:45 - 09.08.2023 07:00","48605","51118"
"09.08.2023 07:00 - 09.08.2023 07:15","49704","52595"
"09.08.2023 07:15 - 09.08.2023 07:30","50351","53516"
"09.08.2023 07:30 - 09.08.2023 07:45","51095","54419"
"09.08.2023 07:45 - 09.08.2023 08:00","51888","55008"
"09.08.2023 08:00 - 09.08.2023 08:15","52819","55807"
"09.08.2023 08:15 - 09.08.2023 08:30","53150","56903"
"09.08.2023 08:30 - 09.08.2023 08:45","53435","57418"
"09.08.2023 08:45 - 09.08.2023 09:00","53782","57677"
"09.08.2023 09:00 - 09.08.2023 09:15","53854","57461"
"09.08.2023 09:15 - 09.08.2023 09:30","54379","57690"
"09.08.2023 09:30 - 09.08.2023 09:45","55031","58055"
"09.08.2023 09:45 - 09.08.2023 10:00","55414","58349"
"09.08.2023 10:00 - 09.08.2023 10:15","56023","58024"
"09.08.2023 10:15 - 09.08.2023 10:30","56598","58169"
"09.08.2023 10:30 - 09.08.2023 10:45","57141","58471"
"09.08.2023 10:45 - 09.08.2023 11:00","57641","58496"
"09.08.2023 11:00 - 09.08.2023 11:15","58285","58529"
"09.08.2023 11:15 - 09.08.2023 11:30","58771","58552"
"09.08.2023 11:30 - 09.08.2023 11:45","59016","58689"
"09.08.2023 11:45 - 09.08.2023 12:00","59099","58474"
"09.08.2023 12:00 - 09.08.2023 12:15","59630","58138"
"09.08.2023 12:15 - 09.08.2023 12:30","59700","58609"
"09.08.2023 12:30 - 09.08.2023 12:45","59422","58798"
"09.08.2023 12:45 - 09.08.2023 13:00","59350","58924"
"09.08.2023 13:00 - 09.08.2023 13:15","59508","58873"
"09.08.2023 13:15 - 09.08.2023 13:30","59502","58354"
"09.08.2023 13:30 - 09.08.2023 13:45","59254","57370"
"09.08.2023 13:45 - 09.08.2023 14:00","58737","56795"
"09.08.2023 14:00 - 09.08.2023 14:15","58608","56288"
"09.08.2023 14:15 - 09.08.2023 14:30","58445","55805"
"09.08.2023 14:30 - 09.08.2023 14:45","58307","56031"
"09.08.2023 14:45 - 09.08.2023 15:00","58235","55682"
"09.08.2023 15:00 - 09.08.2023 15:15","58396","55768"
"09.08.2023 15:15 - 09.08.2023 15:30","57664","55382"
"09.08.2023 15:30 - 09.08.2023 15:45","57499","54744"
"09.08.2023 15:45 - 09.08.2023 16:00","57151","54637"
"09.08.2023 16:00 - 09.08.2023 16:15","56805","54838"
"09.08.2023 16:15 - 09.08.2023 16:30","56270","54321"
"09.08.2023 16:30 - 09.08.2023 16:45","55499","54322"
"09.08.2023 16:45 - 09.08.2023 17:00","55164","54699"
"09.08.2023 17:00 - 09.08.2023 17:15","54824","55204"
"09.08.2023 17:15 - 09.08.2023 17:30","54220","55045"
"09.08.2023 17:30 - 09.08.2023 17:45","54398","55199"
"09.08.2023 17:45 - 09.08.2023 18:00","54433","55231"
"09.08.2023 18:00 - 09.08.2023 18:15","53557","55816"
"09.08.2023 18:15 - 09.08.2023 18:30","52778","55347"
"09.08.2023 18:30 - 09.08.2023 18:45","52810","55125"
"09.08.2023 18:45 - 09.08.2023 19:00","52791","55128"
"09.08.2023 19:00 - 09.08.2023 19:15","52067","54856"
"09.08.2023 19:15 - 09.08.2023 19:30","51452","54559"
"09.08.2023 19:30 - 09.08.2023 19:45","51246","54218"
"09.08.2023 19:45 - 09.08.2023 20:00","50994","53860"
"09.08.2023 20:00 - 09.08.2023 20:15","50370","53077"
"09.08.2023 20:15 - 09.08.2023 20:30","49506","52541"
"09.08.2023 20:30 - 09.08.2023 20:45","48939","52002"
"09.08.2023 20:45 - 09.08.2023 21:00","48417","51506"
"09.08.2023 21:00 - 09.08.2023 21:15","48112","52116"
"09.08.2023 21:15 - 09.08.2023 21:30","47680","52136"
"09.08.2023 21:30 - 09.08.2023 21:45","47191","51404"
"09.08.2023 21:45 - 09.08.2023 22:00","46182","50323"
"09.08.2023 22:00 - 09.08.2023 22:15","45684","49476"
"09.08.2023 22:15 - 09.08.2023 22:30","44956","48688"
"09.08.2023 22:30 - 09.08.2023 22:45","43989","47568"
"09.08.2023 22:45 - 09.08.2023 23:00","43093","46967"
"09.08.2023 23:00 - 09.08.2023 23:15","42512","46276"
"09.08.2023 23:15 - 09.08.2023 23:30","41816","45223"
"09.08.2023 23:30 - 09.08.2023 23:45","41121","44536"
"09.08.2023 23:45 - 10.08.2023 00:00","40378","44046"
"10.08.2023 00:00 - 10.08.2023 00:15","38941","43231"
"10.08.2023 00:15 - 10.08.2023 00:30","38535","42764"
"10.08.2023 00:30 - 10.08.2023 00:45","38029","42061"
"10.08.2023 00:45 - 10.08.2023 01:00","37762","41852"
"10.08.2023 01:00 - 10.08.2023 01:15","37337","41343"
"10.08.2023 01:15 - 10.08.2023 01:30","37025","40806"
"10.08.2023 01:30 - 10.08.2023 01:45","36715","40220"
"10.08.2023 01:45 - 10.08.2023 02:00","36507","40029"
"10.08.2023 02:00 - 10.08.2023 02:15","36389","39919"
"10.08.2023 02:15 - 10.08.2023 02:30","36255","39447"
"10.08.2023 02:30 - 10.08.2023 02:45","36228","39479"
"10.08.2023 02:45 - 10.08.2023 03:00","36303","39351"
"10.08.2023 03:00 - 10.08.2023 03:15","36618","39240"
"10.08.2023 03:15 - 10.08.2023 03:30","36779","39281"
"10.08.2023 03:30 - 10.08.2023 03:45","36890","39395"
"10.08.2023 03:45 - 10.08.2023 04:00","37031","39635"
"10.08.2023 04:00 - 10.08.2023 04:15","37530","39738"
"10.08.2023 04:15 - 10.08.2023 04:30","37991","39952"
"10.08.2023 04:30 - 10.08.2023 04:45","38537","40436"
"10.08.2023 04:45 - 10.08.2023 05:00","39087","41105"
"10.08.2023 05:00 - 10.08.2023 05:15","40233","42208"
"10.08.2023 05:15 - 10.08.2023 05:30","40947","42572"
"10.08.2023 05:30 - 10.08.2023 05:45","41797","43452"
"10.08.2023 05:45 - 10.08.2023 06:00","42778","44520"
"10.08.2023 06:00 - 10.08.2023 06:15","44300","46960"
"10.08.2023 06:15 - 10.08.2023 06:30","45815","48551"
"10.08.2023 06:30 - 10.08.2023 06:45","46900","49890"
"10.08.2023 06:45 - 10.08.2023 07:00","48172","50945"
"10.08.2023 07:00 - 10.08.2023 07:15","49275","52568"
"10.08.2023 07:15 - 10.08.2023 07:30","50301","53458"
"10.08.2023 07:30 - 10.08.2023 07:45","51275","54456"
"10.08.2023 07:45 - 10.08.2023 08:00","51936","55180"
"10.08.2023 08:00 - 10.08.2023 08:15","52839","56313"
"10.08.2023 08:15 - 10.08.2023 08:30","53540","56713"
"10.08.2023 08:30 - 10.08.2023 08:45","54137","56965"
"10.08.2023 08:45 - 10.08.2023 09:00","54150","57132"
"10.08.2023 09:00 - 10.08.2023 09:15","54602","56950"
"10.08.2023 09:15 - 10.08.2023 09:30","54872","56889"
"10.08.2023 09:30 - 10.08.2023 09:45","55621","57235"
"10.08.2023 09:45 - 10.08.2023 10:00","55738","57463"
"10.08.2023 10:00 - 10.08.2023 10:15","56453","57586"
"10.08.2023 10:15 - 10.08.2023 10:30","56888","57482"
"10.08.2023 10:30 - 10.08.2023 10:45","57111","57647"
"10.08.2023 10:45 - 10.08.2023 11:00","57697","57790"
"10.08.2023 11:00 - 10.08.2023 11:15","58353","58314"
"10.08.2023 11:15 - 10.08.2023 11:30","58496","58447"
"10.08.2023 11:30 - 10.08.2023 11:45","58604","58428"
"10.08.2023 11:45 - 10.08.2023 12:00","58371","58272"
"10.08.2023 12:00 - 10.08.2023 12:15","58604","58013"
"10.08.2023 12:15 - 10.08.2023 12:30","58700","57509"
"10.08.2023 12:30 - 10.08.2023 12:45","58461","57378"
"10.08.2023 12:45 - 10.08.2023 13:00","58040","57264"
"10.08.2023 13:00 - 10.08.2023 13:15","58137","56586"
"10.08.2023 13:15 - 10.08.2023 13:30","58031","56393"
"10.08.2023 13:30 - 10.08.2023 13:45","57537","56307"
"10.08.2023 13:45 - 10.08.2023 14:00","57017","55667"
"10.08.2023 14:00 - 10.08.2023 14:15","56828","55404"
"10.08.2023 14:15 - 10.08.2023 14:30","56474","55260"
"10.08.2023 14:30 - 10.08.2023 14:45","56227","55128"
"10.08.2023 14:45 - 10.08.2023 15:00","55698","54880"
"10.08.2023 15:00 - 10.08.2023 15:15","55094","54862"
"10.08.2023 15:15 - 10.08.2023 15:30","54925","54421"
"10.08.2023 15:30 - 10.08.2023 15:45","54623","54310"
"10.08.2023 15:45 - 10.08.2023 16:00","54159","54069"
"10.08.2023 16:00 - 10.08.2023 16:15","53828","53729"
"10.08.2023 16:15 - 10.08.2023 16:30","53293","53598"
"10.08.2023 16:30 - 10.08.2023 16:45","53061","53451"
"10.08.2023 16:45 - 10.08.2023 17:00","52650","53465"
"10.08.2023 17:00 - 10.08.2023 17:15","52302","53485"
"10.08.2023 17:15 - 10.08.2023 17:30","52160","53373"
"10.08.2023 17:30 - 10.08.2023 17:45","52303","53627"
"10.08.2023 17:45 - 10.08.2023 18:00","52571","54007"
"10.08.2023 18:00 - 10.08.2023 18:15","52317","54235"
"10.08.2023 18:15 - 10.08.2023 18:30","51764","54098"
"10.08.2023 18:30 - 10.08.2023 18:45","51741","54204"
"10.08.2023 18:45 - 10.08.2023 19:00","51796","54330"
"10.08.2023 19:00 - 10.08.2023 19:15","51990","54085"
"10.08.2023 19:15 - 10.08.2023 19:30","51628","53691"
"10.08.2023 19:30 - 10.08.2023 19:45","51257","53501"
"10.08.2023 19:45 - 10.08.2023 20:00","50935","53269"
"10.08.2023 20:00 - 10.08.2023 20:15","50002","52621"
"10.08.2023 20:15 - 10.08.2023 20:30","49103","52042"
"10.08.2023 20:30 - 10.08.2023 20:45","48710","51423"
"10.08.2023 20:45 - 10.08.2023 21:00","48238","51255"
"10.08.2023 21:00 - 10.08.2023 21:15","47795","51243"
"10.08.2023 21:15 - 10.08.2023 21:30","47402","50954"
"10.08.2023 21:30 - 10.08.2023 21:45","46621","50438"
"10.08.2023 21:45 - 10.08.2023 22:00","45778","49455"
"10.08.2023 22:00 - 10.08.2023 22:15","45194","48651"
"10.08.2023 22:15 - 10.08.2023 22:30","44241","47633"
"10.08.2023 22:30 - 10.08.2023 22:45","43394","46720"
"10.08.2023 22:45 - 10.08.2023 23:00","42577","45792"
"10.08.2023 23:00 - 10.08.2023 23:15","41596","44374"
"10.08.2023 23:15 - 10.08.2023 23:30","40904","43803"
"10.08.2023 23:30 - 10.08.2023 23:45","40407","43270"
"10.08.2023 23:45 - 11.08.2023 00:00","39716","42782"
"11.08.2023 00:00 - 11.08.2023 00:15","39491","42341"
"11.08.2023 00:15 - 11.08.2023 00:30","39069","41605"
"11.08.2023 00:30 - 11.08.2023 00:45","38786","41213"
"11.08.2023 00:45 - 11.08.2023 01:00","38515","40900"
"11.08.2023 01:00 - 11.08.2023 01:15","38093","40760"
"11.08.2023 01:15 - 11.08.2023 01:30","37854","40286"
"11.08.2023 01:30 - 11.08.2023 01:45","37460","39458"
"11.08.2023 01:45 - 11.08.2023 02:00","37147","39106"
"11.08.2023 02:00 - 11.08.2023 02:15","36928","38869"
"11.08.2023 02:15 - 11.08.2023 02:30","36714","38722"
"11.08.2023 02:30 - 11.08.2023 02:45","36843","38469"
"11.08.2023 02:45 - 11.08.2023 03:00","36898","38447"
"11.08.2023 03:00 - 11.08.2023 03:15","36903","38513"
"11.08.2023 03:15 - 11.08.2023 03:30","36965","38521"
"11.08.2023 03:30 - 11.08.2023 03:45","37157","38634"
"11.08.2023 03:45 - 11.08.2023 04:00","37519","38655"
"11.08.2023 04:00 - 11.08.2023 04:15","38006","38529"
"11.08.2023 04:15 - 11.08.2023 04:30","38491","38949"
"11.08.2023 04:30 - 11.08.2023 04:45","38865","39422"
"11.08.2023 04:45 - 11.08.2023 05:00","39266","39893"
"11.08.2023 05:00 - 11.08.2023 05:15","40392","40946"
"11.08.2023 05:15 - 11.08.2023 05:30","41012","41439"
"11.08.2023 05:30 - 11.08.2023 05:45","41971","42254"
"11.08.2023 05:45 - 11.08.2023 06:00","42744","43360"
"11.08.2023 06:00 - 11.08.2023 06:15","44416","45498"
"11.08.2023 06:15 - 11.08.2023 06:30","45621","46984"
"11.08.2023 06:30 - 11.08.2023 06:45","46519","48027"
"11.08.2023 06:45 - 11.08.2023 07:00","47621","49044"
"11.08.2023 07:00 - 11.08.2023 07:15","48602","50467"
"11.08.2023 07:15 - 11.08.2023 07:30","50045","51536"
"11.08.2023 07:30 - 11.08.2023 07:45","50979","52586"
"11.08.2023 07:45 - 11.08.2023 08:00","51544","53395"
"11.08.2023 08:00 - 11.08.2023 08:15","51898","54498"
"11.08.2023 08:15 - 11.08.2023 08:30","52273","55495"
"11.08.2023 08:30 - 11.08.2023 08:45","52756","56143"
"11.08.2023 08:45 - 11.08.2023 09:00","52862","56534"
"11.08.2023 09:00 - 11.08.2023 09:15","53002","56407"
"11.08.2023 09:15 - 11.08.2023 09:30","53240","56360"
"11.08.2023 09:30 - 11.08.2023 09:45","53669","56906"
"11.08.2023 09:45 - 11.08.2023 10:00","53659","57098"
"11.08.2023 10:00 - 11.08.2023 10:15","53613","57163"
"11.08.2023 10:15 - 11.08.2023 10:30","53914","57371"
"11.08.2023 10:30 - 11.08.2023 10:45","54408","57674"
"11.08.2023 10:45 - 11.08.2023 11:00","54634","57862"
"11.08.2023 11:00 - 11.08.2023 11:15","54860","57723"
"11.08.2023 11:15 - 11.08.2023 11:30","55376","57878"
"11.08.2023 11:30 - 11.08.2023 11:45","55517","57997"
"11.08.2023 11:45 - 11.08.2023 12:00","55228","57966"
"11.08.2023 12:00 - 11.08.2023 12:15","55516","57377"
"11.08.2023 12:15 - 11.08.2023 12:30","55376","57169"
"11.08.2023 12:30 - 11.08.2023 12:45","55075","56864"
"11.08.2023 12:45 - 11.08.2023 13:00","54728","56451"
"11.08.2023 13:00 - 11.08.2023 13:15","54744","56326"
"11.08.2023 13:15 - 11.08.2023 13:30","54327","55470"
"11.08.2023 13:30 - 11.08.2023 13:45","53869","55103"
"11.08.2023 13:45 - 11.08.2023 14:00","53263","54412"
"11.08.2023 14:00 - 11.08.2023 14:15","53067","54242"
"11.08.2023 14:15 - 11.08.2023 14:30","52820","53924"
"11.08.2023 14:30 - 11.08.2023 14:45","52593","53694"
"11.08.2023 14:45 - 11.08.2023 15:00","52585","53460"
"11.08.2023 15:00 - 11.08.2023 15:15","52706","53286"
"11.08.2023 15:15 - 11.08.2023 15:30","52556","53241"
"11.08.2023 15:30 - 11.08.2023 15:45","52103","53050"
"11.08.2023 15:45 - 11.08.2023 16:00","51969","52939"
"11.08.2023 16:00 - 11.08.2023 16:15","51637","53274"
"11.08.2023 16:15 - 11.08.2023 16:30","51158","53172"
"11.08.2023 16:30 - 11.08.2023 16:45","51207","53027"
"11.08.2023 16:45 - 11.08.2023 17:00","50708","52668"
"11.08.2023 17:00 - 11.08.2023 17:15","50908","53184"
"11.08.2023 17:15 - 11.08.2023 17:30","50597","52932"
"11.08.2023 17:30 - 11.08.2023 17:45","50788","52519"
"11.08.2023 17:45 - 11.08.2023 18:00","50498","52636"
"11.08.2023 18:00 - 11.08.2023 18:15","50498","52907"
"11.08.2023 18:15 - 11.08.2023 18:30","50331","52716"
"11.08.2023 18:30 - 11.08.2023 18:45","50128","52801"
"11.08.2023 18:45 - 11.08.2023 19:00","49978","52792"
"11.08.2023 19:00 - 11.08.2023 19:15","49513","52824"
"11.08.2023 19:15 - 11.08.2023 19:30","49155","52343"
"11.08.2023 19:30 - 11.08.2023 19:45","48800","52102"
"11.08.2023 19:45 - 11.08.2023 20:00","48504","51869"
"11.08.2023 20:00 - 11.08.2023 20:15","48140","51183"
"11.08.2023 20:15 - 11.08.2023 20:30","47417","50373"
"11.08.2023 20:30 - 11.08.2023 20:45","46912","50093"
"11.08.2023 20:45 - 11.08.2023 21:00","46577","49666"
"11.08.2023 21:00 - 11.08.2023 21:15","46100","49707"
"11.08.2023 21:15 - 11.08.2023 21:30","45936","49266"
"11.08.2023 21:30 - 11.08.2023 21:45","45315","48748"
"11.08.2023 21:45 - 11.08.2023 22:00","44405","47451"
"11.08.2023 22:00 - 11.08.2023 22:15","43765","46582"
"11.08.2023 22:15 - 11.08.2023 22:30","42937","45692"
"11.08.2023 22:30 - 11.08.2023 22:45","42110","45041"
"11.08.2023 22:45 - 11.08.2023 23:00","41481","44177"
"11.08.2023 23:00 - 11.08.2023 23:15","40533","43333"
"11.08.2023 23:15 - 11.08.2023 23:30","39928","42937"
"11.08.2023 23:30 - 11.08.2023 23:45","39355","42000"
"11.08.2023 23:45 - 12.08.2023 00:00","38941","41526"
"12.08.2023 00:00 - 12.08.2023 00:15","38944","40831"
"12.08.2023 00:15 - 12.08.2023 00:30","38713","40267"
"12.08.2023 00:30 - 12.08.2023 00:45","38281","39714"
"12.08.2023 00:45 - 12.08.2023 01:00","37780","39271"
"12.08.2023 01:00 - 12.08.2023 01:15","36972","38922"
"12.08.2023 01:15 - 12.08.2023 01:30","36580","38549"
"12.08.2023 01:30 - 12.08.2023 01:45","36265","38088"
"12.08.2023 01:45 - 12.08.2023 02:00","35953","37705"
"12.08.2023 02:00 - 12.08.2023 02:15","35737","37706"
"12.08.2023 02:15 - 12.08.2023 02:30","35639","37426"
"12.08.2023 02:30 - 12.08.2023 02:45","35408","37342"
"12.08.2023 02:45 - 12.08.2023 03:00","35413","37023"
"12.08.2023 03:00 - 12.08.2023 03:15","35389","37091"
"12.08.2023 03:15 - 12.08.2023 03:30","35224","36964"
"12.08.2023 03:30 - 12.08.2023 03:45","35226","37094"
"12.08.2023 03:45 - 12.08.2023 04:00","35197","37148"
"12.08.2023 04:00 - 12.08.2023 04:15","35313","37423"
"12.08.2023 04:15 - 12.08.2023 04:30","35350","37164"
"12.08.2023 04:30 - 12.08.2023 04:45","35454","37238"
"12.08.2023 04:45 - 12.08.2023 05:00","35504","37308"
"12.08.2023 05:00 - 12.08.2023 05:15","35831","37590"
"12.08.2023 05:15 - 12.08.2023 05:30","35900","37693"
"12.08.2023 05:30 - 12.08.2023 05:45","36035","38065"
"12.08.2023 05:45 - 12.08.2023 06:00","36221","38162"
"12.08.2023 06:00 - 12.08.2023 06:15","36855","38695"
"12.08.2023 06:15 - 12.08.2023 06:30","36988","38969"
"12.08.2023 06:30 - 12.08.2023 06:45","37276","39318"
"12.08.2023 06:45 - 12.08.2023 07:00","37502","39782"
"12.08.2023 07:00 - 12.08.2023 07:15","38222","40408"
"12.08.2023 07:15 - 12.08.2023 07:30","39168","41243"
"12.08.2023 07:30 - 12.08.2023 07:45","39945","42159"
"12.08.2023 07:45 - 12.08.2023 08:00","40586","42914"
"12.08.2023 08:00 - 12.08.2023 08:15","41434","43719"
"12.08.2023 08:15 - 12.08.2023 08:30","42296","44359"
"12.08.2023 08:30 - 12.08.2023 08:45","43125","45177"
"12.08.2023 08:45 - 12.08.2023 09:00","43700","45909"
"12.08.2023 09:00 - 12.08.2023 09:15","44383","46491"
"12.08.2023 09:15 - 12.08.2023 09:30","45208","47343"
"12.08.2023 09:30 - 12.08.2023 09:45","45752","47950"
"12.08.2023 09:45 - 12.08.2023 10:00","46022","48388"
"12.08.2023 10:00 - 12.08.2023 10:15","46600","48842"
"12.08.2023 10:15 - 12.08.2023 10:30","46875","49087"
"12.08.2023 10:30 - 12.08.2023 10:45","47031","49145"
"12.08.2023 10:45 - 12.08.2023 11:00","47110","49527"
"12.08.2023 11:00 - 12.08.2023 11:15","47065","49735"
"12.08.2023 11:15 - 12.08.2023 11:30","47289","49601"
"12.08.2023 11:30 - 12.08.2023 11:45","47771","50145"
"12.08.2023 11:45 - 12.08.2023 12:00","47898","50346"
"12.08.2023 12:00 - 12.08.2023 12:15","47934","50245"
"12.08.2023 12:15 - 12.08.2023 12:30","47684","49957"
"12.08.2023 12:30 - 12.08.2023 12:45","47577","50023"
"12.08.2023 12:45 - 12.08.2023 13:00","47327","49798"
"12.08.2023 13:00 - 12.08.2023 13:15","47183","49289"
"12.08.2023 13:15 - 12.08.2023 13:30","46844","49065"
"12.08.2023 13:30 - 12.08.2023 13:45","46475","48892"
"12.08.2023 13:45 - 12.08.2023 14:00","46166","48816"
"12.08.2023 14:00 - 12.08.2023 14:15","45758","48940"
"12.08.2023 14:15 - 12.08.2023 14:30","45479","48531"
"12.08.2023 14:30 - 12.08.2023 14:45","45295","48089"
"12.08.2023 14:45 - 12.08.2023 15:00","45233","47828"
"12.08.2023 15:00 - 12.08.2023 15:15","45074","48049"
"12.08.2023 15:15 - 12.08.2023 15:30","44924","47811"
"12.08.2023 15:30 - 12.08.2023 15:45","44994","47421"
"12.08.2023 15:45 - 12.08.2023 16:00","44920","47260"
"12.08.2023 16:00 - 12.08.2023 16:15","44476","46873"
"12.08.2023 16:15 - 12.08.2023 16:30","44131","46558"
"12.08.2023 16:30 - 12.08.2023 16:45","43844","46517"
"12.08.2023 16:45 - 12.08.2023 17:00","43793","46201"
"12.08.2023 17:00 - 12.08.2023 17:15","44214","46287"
"12.08.2023 17:15 - 12.08.2023 17:30","44069","46093"
"12.08.2023 17:30 - 12.08.2023 17:45","44206","46086"
"12.08.2023 17:45 - 12.08.2023 18:00","44445","46831"
"12.08.2023 18:00 - 12.08.2023 18:15","44694","47453"
"12.08.2023 18:15 - 12.08.2023 18:30","44791","47821"
"12.08.2023 18:30 - 12.08.2023 18:45","44748","47480"
"12.08.2023 18:45 - 12.08.2023 19:00","44600","47369"
"12.08.2023 19:00 - 12.08.2023 19:15","44418","47463"
"12.08.2023 19:15 - 12.08.2023 19:30","43974","46950"
"12.08.2023 19:30 - 12.08.2023 19:45","43789","46203"
"12.08.2023 19:45 - 12.08.2023 20:00","43456","46136"
"12.08.2023 20:00 - 12.08.2023 20:15","43138","45865"
"12.08.2023 20:15 - 12.08.2023 20:30","42374","45407"
"12.08.2023 20:30 - 12.08.2023 20:45","42040","45168"
"12.08.2023 20:45 - 12.08.2023 21:00","41455","45028"
"12.08.2023 21:00 - 12.08.2023 21:15","41021","45177"
"12.08.2023 21:15 - 12.08.2023 21:30","40657","45017"
"12.08.2023 21:30 - 12.08.2023 21:45","40265","44465"
"12.08.2023 21:45 - 12.08.2023 22:00","39588","44109"
"12.08.2023 22:00 - 12.08.2023 22:15","39267","43613"
"12.08.2023 22:15 - 12.08.2023 22:30","38772","43205"
"12.08.2023 22:30 - 12.08.2023 22:45","38126","42355"
"12.08.2023 22:45 - 12.08.2023 23:00","37683","41685"
"12.08.2023 23:00 - 12.08.2023 23:15","36787","41101"
"12.08.2023 23:15 - 12.08.2023 23:30","36381","40409"
"12.08.2023 23:30 - 12.08.2023 23:45","35867","39813"
"12.08.2023 23:45 - 13.08.2023 00:00","35547","39210"
"13.08.2023 00:00 - 13.08.2023 00:15","34784","38359"
"13.08.2023 00:15 - 13.08.2023 00:30","34428","37976"
"13.08.2023 00:30 - 13.08.2023 00:45","34242","37318"
"13.08.2023 00:45 - 13.08.2023 01:00","34140","36647"
"13.08.2023 01:00 - 13.08.2023 01:15","34042","36631"
"13.08.2023 01:15 - 13.08.2023 01:30","33968","36162"
"13.08.2023 01:30 - 13.08.2023 01:45","33785","35819"
"13.08.2023 01:45 - 13.08.2023 02:00","33501","35367"
"13.08.2023 02:00 - 13.08.2023 02:15","33111","35038"
"13.08.2023 02:15 - 13.08.2023 02:30","32865","34716"
