"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"04.01.2023 07:45 - 04.01.2023 08:00","7900","7734"
"04.01.2023 08:00 - 04.01.2023 08:15","8016","7913"
"04.01.2023 08:15 - 04.01.2023 08:30","8080","7985"
"04.01.2023 08:30 - 04.01.2023 08:45","8136","8085"
"04.01.2023 08:45 - 04.01.2023 09:00","8168","8136"
"04.01.2023 09:00 - 04.01.2023 09:15","8192","8179"
"04.01.2023 09:15 - 04.01.2023 09:30","8220","8186"
"04.01.2023 09:30 - 04.01.2023 09:45","8276","8174"
"04.01.2023 09:45 - 04.01.2023 10:00","8296","8132"
"04.01.2023 10:00 - 04.01.2023 10:15","8324","8094"
"04.01.2023 10:15 - 04.01.2023 10:30","8340","8082"
"04.01.2023 10:30 - 04.01.2023 10:45","8364","8056"
"04.01.2023 10:45 - 04.01.2023 11:00","8388","8054"
"04.01.2023 11:00 - 04.01.2023 11:15","8400","8025"
"04.01.2023 11:15 - 04.01.2023 11:30","8436","8040"
"04.01.2023 11:30 - 04.01.2023 11:45","8436","8009"
"04.01.2023 11:45 - 04.01.2023 12:00","8392","7940"
"04.01.2023 12:00 - 04.01.2023 12:15","8388","7934"
"04.01.2023 12:15 - 04.01.2023 12:30","8292","7822"
"04.01.2023 12:30 - 04.01.2023 12:45","8220","7763"
"04.01.2023 12:45 - 04.01.2023 13:00","8168","7711"
"04.01.2023 13:00 - 04.01.2023 13:15","8172","7741"
"04.01.2023 13:15 - 04.01.2023 13:30","8124","7737"
"04.01.2023 13:30 - 04.01.2023 13:45","8064","7742"
"04.01.2023 13:45 - 04.01.2023 14:00","8004","7678"
"04.01.2023 14:00 - 04.01.2023 14:15","7976","7695"
"04.01.2023 14:15 - 04.01.2023 14:30","7956","7711"
"04.01.2023 14:30 - 04.01.2023 14:45","7948","7732"
"04.01.2023 14:45 - 04.01.2023 15:00","7940","7753"
"04.01.2023 15:00 - 04.01.2023 15:15","7948","7795"
"04.01.2023 15:15 - 04.01.2023 15:30","7956","7794"
"04.01.2023 15:30 - 04.01.2023 15:45","7968","7835"
"04.01.2023 15:45 - 04.01.2023 16:00","8012","7867"
"04.01.2023 16:00 - 04.01.2023 16:15","8072","7906"
"04.01.2023 16:15 - 04.01.2023 16:30","8140","7935"
"04.01.2023 16:30 - 04.01.2023 16:45","8228","8060"
"04.01.2023 16:45 - 04.01.2023 17:00","8296","8144"
"04.01.2023 17:00 - 04.01.2023 17:15","8320","8202"
"04.01.2023 17:15 - 04.01.2023 17:30","8364","8245"
"04.01.2023 17:30 - 04.01.2023 17:45","8388","8268"
"04.01.2023 17:45 - 04.01.2023 18:00","8376","8228"
"04.01.2023 18:00 - 04.01.2023 18:15","8340","8152"
"04.01.2023 18:15 - 04.01.2023 18:30","8288","8070"
"04.01.2023 18:30 - 04.01.2023 18:45","8232","8033"
"04.01.2023 18:45 - 04.01.2023 19:00","8160","7929"
"04.01.2023 19:00 - 04.01.2023 19:15","8048","7834"
"04.01.2023 19:15 - 04.01.2023 19:30","7948","7683"
"04.01.2023 19:30 - 04.01.2023 19:45","7840","7570"
"04.01.2023 19:45 - 04.01.2023 20:00","7712","7503"
"04.01.2023 20:00 - 04.01.2023 20:15","7588","7386"
"04.01.2023 20:15 - 04.01.2023 20:30","7460","7218"
"04.01.2023 20:30 - 04.01.2023 20:45","7336","7078"
"04.01.2023 20:45 - 04.01.2023 21:00","7220","6944"
"04.01.2023 21:00 - 04.01.2023 21:15","7088","6818"
"04.01.2023 21:15 - 04.01.2023 21:30","6980","6687"
"04.01.2023 21:30 - 04.01.2023 21:45","6872","6604"
"04.01.2023 21:45 - 04.01.2023 22:00","6800","6525"
"04.01.2023 22:00 - 04.01.2023 22:15","6988","6662"
"04.01.2023 22:15 - 04.01.2023 22:30","6916","6609"
"04.01.2023 22:30 - 04.01.2023 22:45","6784","6462"
"04.01.2023 22:45 - 04.01.2023 23:00","6680","6378"
"04.01.2023 23:00 - 04.01.2023 23:15","6604","6293"
"04.01.2023 23:15 - 04.01.2023 23:30","6468","6142"
"04.01.2023 23:30 - 04.01.2023 23:45","6360","5985"
"04.01.2023 23:45 - 05.01.2023 00:00","6256","5888"
"05.01.2023 00:00 - 05.01.2023 00:15","6084","5861"
"05.01.2023 00:15 - 05.01.2023 00:30","5984","5785"
"05.01.2023 00:30 - 05.01.2023 00:45","5892","5703"
"05.01.2023 00:45 - 05.01.2023 01:00","5788","5599"
"05.01.2023 01:00 - 05.01.2023 01:15","5796","5547"
"05.01.2023 01:15 - 05.01.2023 01:30","5728","5520"
"05.01.2023 01:30 - 05.01.2023 01:45","5676","5496"
"05.01.2023 01:45 - 05.01.2023 02:00","5628","5443"
"05.01.2023 02:00 - 05.01.2023 02:15","5716","5474"
"05.01.2023 02:15 - 05.01.2023 02:30","5672","5405"
"05.01.2023 02:30 - 05.01.2023 02:45","5608","5382"
"05.01.2023 02:45 - 05.01.2023 03:00","5568","5366"
"05.01.2023 03:00 - 05.01.2023 03:15","5572","5356"
"05.01.2023 03:15 - 05.01.2023 03:30","5556","5348"
"05.01.2023 03:30 - 05.01.2023 03:45","5556","5323"
"05.01.2023 03:45 - 05.01.2023 04:00","5568","5301"
"05.01.2023 04:00 - 05.01.2023 04:15","5616","5368"
"05.01.2023 04:15 - 05.01.2023 04:30","5664","5403"
"05.01.2023 04:30 - 05.01.2023 04:45","5740","5471"
"05.01.2023 04:45 - 05.01.2023 05:00","5848","5521"
"05.01.2023 05:00 - 05.01.2023 05:15","6028","5735"
"05.01.2023 05:15 - 05.01.2023 05:30","6192","5876"
"05.01.2023 05:30 - 05.01.2023 05:45","6364","6008"
"05.01.2023 05:45 - 05.01.2023 06:00","6548","6170"
"05.01.2023 06:00 - 05.01.2023 06:15","6720","6402"
"05.01.2023 06:15 - 05.01.2023 06:30","6960","6593"
"05.01.2023 06:30 - 05.01.2023 06:45","7152","6746"
"05.01.2023 06:45 - 05.01.2023 07:00","7332","6885"
"05.01.2023 07:00 - 05.01.2023 07:15","7568","7128"
"05.01.2023 07:15 - 05.01.2023 07:30","7736","7325"
"05.01.2023 07:30 - 05.01.2023 07:45","7876","7466"
"05.01.2023 07:45 - 05.01.2023 08:00","7980","7613"
"05.01.2023 08:00 - 05.01.2023 08:15","8076","7740"
"05.01.2023 08:15 - 05.01.2023 08:30","8140","7818"
"05.01.2023 08:30 - 05.01.2023 08:45","8204","7890"
"05.01.2023 08:45 - 05.01.2023 09:00","8264","7989"
"05.01.2023 09:00 - 05.01.2023 09:15","8264","8088"
"05.01.2023 09:15 - 05.01.2023 09:30","8292","8162"
"05.01.2023 09:30 - 05.01.2023 09:45","8332","8223"
"05.01.2023 09:45 - 05.01.2023 10:00","8348","8214"
"05.01.2023 10:00 - 05.01.2023 10:15","8352","8228"
"05.01.2023 10:15 - 05.01.2023 10:30","8368","8263"
"05.01.2023 10:30 - 05.01.2023 10:45","8392","8297"
"05.01.2023 10:45 - 05.01.2023 11:00","8416","8264"
