"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Austria (AT)","Generation - Solar  [MW] Current / Austria (AT)","Generation - Wind Offshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Offshore  [MW] Current / Austria (AT)","Generation - Wind Onshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Onshore  [MW] Current / Austria (AT)"
"03.01.2022 12:45 - 03.01.2022 13:00","148","244","n/e","n/e","2368","2300"
"03.01.2022 13:00 - 03.01.2022 13:15","144","240","n/e","n/e","2360","2288"
"03.01.2022 13:15 - 03.01.2022 13:30","140","236","n/e","n/e","2348","2268"
"03.01.2022 13:30 - 03.01.2022 13:45","136","228","n/e","n/e","2336","2252"
"03.01.2022 13:45 - 03.01.2022 14:00","132","212","n/e","n/e","2324","2232"
"03.01.2022 14:00 - 03.01.2022 14:15","124","200","n/e","n/e","2300","2212"
"03.01.2022 14:15 - 03.01.2022 14:30","120","192","n/e","n/e","2260","2184"
"03.01.2022 14:30 - 03.01.2022 14:45","112","176","n/e","n/e","2220","2188"
"03.01.2022 14:45 - 03.01.2022 15:00","108","148","n/e","n/e","2184","2176"
"03.01.2022 15:00 - 03.01.2022 15:15","96","124","n/e","n/e","2140","2144"
"03.01.2022 15:15 - 03.01.2022 15:30","88","104","n/e","n/e","2088","2096"
"03.01.2022 15:30 - 03.01.2022 15:45","80","80","n/e","n/e","2036","2048"
"03.01.2022 15:45 - 03.01.2022 16:00","72","56","n/e","n/e","1988","1996"
"03.01.2022 16:00 - 03.01.2022 16:15","60","40","n/e","n/e","1936","1940"
"03.01.2022 16:15 - 03.01.2022 16:30","8","4","n/e","n/e","1880","1872"
"03.01.2022 16:30 - 03.01.2022 16:45","0","0","n/e","n/e","1828","1808"
"03.01.2022 16:45 - 03.01.2022 17:00","0","0","n/e","n/e","1772","1744"
"03.01.2022 17:00 - 03.01.2022 17:15","0","0","n/e","n/e","1728","1680"
"03.01.2022 17:15 - 03.01.2022 17:30","0","0","n/e","n/e","1688","1616"
"03.01.2022 17:30 - 03.01.2022 17:45","0","0","n/e","n/e","1652","1460"
"03.01.2022 17:45 - 03.01.2022 18:00","0","0","n/e","n/e","1612","1392"
"03.01.2022 18:00 - 03.01.2022 18:15","0","0","n/e","n/e","1576","1336"
"03.01.2022 18:15 - 03.01.2022 18:30","0","0","n/e","n/e","1540","1288"
"03.01.2022 18:30 - 03.01.2022 18:45","0","0","n/e","n/e","1504","1172"
"03.01.2022 18:45 - 03.01.2022 19:00","0","0","n/e","n/e","1468","1124"
"03.01.2022 19:00 - 03.01.2022 19:15","0","0","n/e","n/e","1420","1084"
"03.01.2022 19:15 - 03.01.2022 19:30","0","0","n/e","n/e","1364","1048"
