"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Netherlands (NL)","Generation - Solar  [MW] Current / Netherlands (NL)","Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Offshore  [MW] Current / Netherlands (NL)","Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Onshore  [MW] Current / Netherlands (NL)"
"03.01.2022 11:00 - 03.01.2022 11:15","1526","n/e","1398","n/e","3827","n/e"
"03.01.2022 11:15 - 03.01.2022 11:30","1636","n/e","1398","n/e","3857","n/e"
"03.01.2022 11:30 - 03.01.2022 11:45","1744","n/e","1399","n/e","3888","n/e"
"03.01.2022 11:45 - 03.01.2022 12:00","1856","n/e","1400","n/e","3917","n/e"
"03.01.2022 12:00 - 03.01.2022 12:15","1965","n/e","1401","n/e","3947","n/e"
"03.01.2022 12:15 - 03.01.2022 12:30","2017","n/e","1401","n/e","3982","n/e"
"03.01.2022 12:30 - 03.01.2022 12:45","2072","n/e","1401","n/e","4023","n/e"
"03.01.2022 12:45 - 03.01.2022 13:00","2124","n/e","1402","n/e","4060","n/e"
"03.01.2022 13:00 - 03.01.2022 13:15","2178","n/e","1402","n/e","4101","n/e"
"03.01.2022 13:15 - 03.01.2022 13:30","2118","n/e","1402","n/e","4100","n/e"
"03.01.2022 13:30 - 03.01.2022 13:45","2058","n/e","1402","n/e","4060","n/e"
"03.01.2022 13:45 - 03.01.2022 14:00","1997","n/e","1401","n/e","4017","n/e"
"03.01.2022 14:00 - 03.01.2022 14:15","1937","n/e","1401","n/e","3976","n/e"
"03.01.2022 14:15 - 03.01.2022 14:30","1865","n/e","1400","n/e","3930","n/e"
"03.01.2022 14:30 - 03.01.2022 14:45","1793","n/e","1399","n/e","3879","n/e"
"03.01.2022 14:45 - 03.01.2022 15:00","1721","n/e","1398","n/e","3827","n/e"
"03.01.2022 15:00 - 03.01.2022 15:15","1648","n/e","1397","n/e","3775","n/e"
"03.01.2022 15:15 - 03.01.2022 15:30","1521","n/e","1395","n/e","3711","n/e"
"03.01.2022 15:30 - 03.01.2022 15:45","1395","n/e","1392","n/e","3633","n/e"
"03.01.2022 15:45 - 03.01.2022 16:00","1269","n/e","1390","n/e","3559","n/e"
"03.01.2022 16:00 - 03.01.2022 16:15","1142","n/e","1387","n/e","3479","n/e"
"03.01.2022 16:15 - 03.01.2022 16:30","869","n/e","1389","n/e","3414","n/e"
"03.01.2022 16:30 - 03.01.2022 16:45","598","n/e","1396","n/e","3364","n/e"
"03.01.2022 16:45 - 03.01.2022 17:00","325","n/e","1402","n/e","3311","n/e"
"03.01.2022 17:00 - 03.01.2022 17:15","55","n/e","1409","n/e","3259","n/e"
"03.01.2022 17:15 - 03.01.2022 17:30","40","n/e","1410","n/e","3215","n/e"
"03.01.2022 17:30 - 03.01.2022 17:45","27","n/e","1405","n/e","3179","n/e"
"03.01.2022 17:45 - 03.01.2022 18:00","12","n/e","1400","n/e","3145","n/e"
"03.01.2022 18:00 - 03.01.2022 18:15","0","n/e","1396","n/e","3110","n/e"
"03.01.2022 18:15 - 03.01.2022 18:30","0","n/e","1392","n/e","3069","n/e"
"03.01.2022 18:30 - 03.01.2022 18:45","0","n/e","1388","n/e","3024","n/e"
"03.01.2022 18:45 - 03.01.2022 19:00","0","n/e","1385","n/e","2977","n/e"
"03.01.2022 19:00 - 03.01.2022 19:15","0","n/e","1382","n/e","2932","n/e"
"03.01.2022 19:15 - 03.01.2022 19:30","0","n/e","1379","n/e","2884","n/e"
"03.01.2022 19:30 - 03.01.2022 19:45","0","n/e","1376","n/e","2833","n/e"
"03.01.2022 19:45 - 03.01.2022 20:00","0","n/e","1373","n/e","2784","n/e"
"03.01.2022 20:00 - 03.01.2022 20:15","0","n/e","1370","n/e","2737","n/e"
"03.01.2022 20:15 - 03.01.2022 20:30","0","n/e","1363","n/e","2683","n/e"
"03.01.2022 20:30 - 03.01.2022 20:45","0","n/e","1352","n/e","2627","n/e"
"03.01.2022 20:45 - 03.01.2022 21:00","0","n/e","1341","n/e","2570","n/e"
"03.01.2022 21:00 - 03.01.2022 21:15","0","n/e","1330","n/e","2516","n/e"
"03.01.2022 21:15 - 03.01.2022 21:30","0","n/e","1316","n/e","2461","n/e"
"03.01.2022 21:30 - 03.01.2022 21:45","0","n/e","1300","n/e","2407","n/e"
"03.01.2022 21:45 - 03.01.2022 22:00","0","n/e","1283","n/e","2352","n/e"
"03.01.2022 22:00 - 03.01.2022 22:15","0","n/e","1266","n/e","2295","n/e"
"03.01.2022 22:15 - 03.01.2022 22:30","0","n/e","1246","n/e","2234","n/e"
