"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"07.01.2022 12:00 - 07.01.2022 13:00","5455","5517","n/e","n/e","2844","n/e"
"07.01.2022 13:00 - 07.01.2022 14:00","4957","5003","n/e","n/e","2881","n/e"
"07.01.2022 14:00 - 07.01.2022 15:00","3723","3743","n/e","n/e","2884","n/e"
"07.01.2022 15:00 - 07.01.2022 16:00","1971","1968","n/e","n/e","2866","n/e"
"07.01.2022 16:00 - 07.01.2022 17:00","413","407","n/e","n/e","2846","n/e"
"07.01.2022 17:00 - 07.01.2022 18:00","0","0","n/e","n/e","2867","n/e"
"07.01.2022 18:00 - 07.01.2022 19:00","0","0","n/e","n/e","2857","n/e"
"07.01.2022 19:00 - 07.01.2022 20:00","0","0","n/e","n/e","2844","n/e"
"07.01.2022 20:00 - 07.01.2022 21:00","0","0","n/e","n/e","2720","n/e"
"07.01.2022 21:00 - 07.01.2022 22:00","0","0","n/e","n/e","2666","n/e"
"07.01.2022 22:00 - 07.01.2022 23:00","0","0","n/e","n/e","2741","n/e"
"07.01.2022 23:00 - 08.01.2022 00:00","0","0","n/e","n/e","2997","n/e"
"08.01.2022 00:00 - 08.01.2022 01:00","0","0","n/e","n/e","2328","n/e"
"08.01.2022 01:00 - 08.01.2022 02:00","0","0","n/e","n/e","2360","n/e"
"08.01.2022 02:00 - 08.01.2022 03:00","0","0","n/e","n/e","2382","n/e"
"08.01.2022 03:00 - 08.01.2022 04:00","0","0","n/e","n/e","2369","n/e"
"08.01.2022 04:00 - 08.01.2022 05:00","0","0","n/e","n/e","2473","n/e"
"08.01.2022 05:00 - 08.01.2022 06:00","0","0","n/e","n/e","2601","n/e"
"08.01.2022 06:00 - 08.01.2022 07:00","0","0","n/e","n/e","2736","n/e"
"08.01.2022 07:00 - 08.01.2022 08:00","0","0","n/e","n/e","2785","n/e"
"08.01.2022 08:00 - 08.01.2022 09:00","745","743","n/e","n/e","2718","n/e"
"08.01.2022 09:00 - 08.01.2022 10:00","2561","2559","n/e","n/e","2681","n/e"
"08.01.2022 10:00 - 08.01.2022 11:00","4371","4369","n/e","n/e","2654","n/e"
"08.01.2022 11:00 - 08.01.2022 12:00","5534","5531","n/e","n/e","2781","n/e"
"08.01.2022 12:00 - 08.01.2022 13:00","5878","5876","n/e","n/e","2964","n/e"
"08.01.2022 13:00 - 08.01.2022 14:00","5472","5470","n/e","n/e","3297","n/e"
"08.01.2022 14:00 - 08.01.2022 15:00","4277","4275","n/e","n/e","3453","n/e"
"08.01.2022 15:00 - 08.01.2022 16:00","2353","2353","n/e","n/e","3607","n/e"
"08.01.2022 16:00 - 08.01.2022 17:00","515","512","n/e","n/e","3580","n/e"
"08.01.2022 17:00 - 08.01.2022 18:00","0","0","n/e","n/e","3536","n/e"
"08.01.2022 18:00 - 08.01.2022 19:00","0","0","n/e","n/e","3391","n/e"
"08.01.2022 19:00 - 08.01.2022 20:00","0","0","n/e","n/e","3378","n/e"
"08.01.2022 20:00 - 08.01.2022 21:00","0","0","n/e","n/e","3379","n/e"
"08.01.2022 21:00 - 08.01.2022 22:00","0","0","n/e","n/e","3204","n/e"
"08.01.2022 22:00 - 08.01.2022 23:00","0","0","n/e","n/e","3039","n/e"
"08.01.2022 23:00 - 09.01.2022 00:00","0","0","n/e","n/e","2959","n/e"
"09.01.2022 00:00 - 09.01.2022 01:00","0","0","n/e","n/e","2577","n/e"
"09.01.2022 01:00 - 09.01.2022 02:00","0","0","n/e","n/e","2597","n/e"
"09.01.2022 02:00 - 09.01.2022 03:00","0","0","n/e","n/e","2566","n/e"
"09.01.2022 03:00 - 09.01.2022 04:00","0","0","n/e","n/e","2534","n/e"
"09.01.2022 04:00 - 09.01.2022 05:00","0","0","n/e","n/e","2577","n/e"
"09.01.2022 05:00 - 09.01.2022 06:00","0","0","n/e","n/e","2620","n/e"
"09.01.2022 06:00 - 09.01.2022 07:00","0","0","n/e","n/e","2794","n/e"
"09.01.2022 07:00 - 09.01.2022 08:00","46","46","n/e","n/e","3167","n/e"
"09.01.2022 08:00 - 09.01.2022 09:00","772","772","n/e","n/e","3444","n/e"
"09.01.2022 09:00 - 09.01.2022 10:00","1992","1992","n/e","n/e","3694","n/e"
"09.01.2022 10:00 - 09.01.2022 11:00","2959","2959","n/e","n/e","3971","n/e"
"09.01.2022 11:00 - 09.01.2022 12:00","3433","3433","n/e","n/e","4111","n/e"
"09.01.2022 12:00 - 09.01.2022 13:00","3458","3458","n/e","n/e","4079","n/e"
"09.01.2022 13:00 - 09.01.2022 14:00","3075","3075","n/e","n/e","4028","n/e"
"09.01.2022 14:00 - 09.01.2022 15:00","2289","2289","n/e","n/e","3977","n/e"
"09.01.2022 15:00 - 09.01.2022 16:00","1189","1189","n/e","n/e","3937","n/e"
"09.01.2022 16:00 - 09.01.2022 17:00","184","184","n/e","n/e","3954","n/e"
"09.01.2022 17:00 - 09.01.2022 18:00","0","0","n/e","n/e","3947","n/e"
"09.01.2022 18:00 - 09.01.2022 19:00","0","0","n/e","n/e","3855","n/e"
"09.01.2022 19:00 - 09.01.2022 20:00","0","0","n/e","n/e","3728","n/e"
"09.01.2022 20:00 - 09.01.2022 21:00","0","0","n/e","n/e","3973","n/e"
"09.01.2022 21:00 - 09.01.2022 22:00","0","0","n/e","n/e","4455","n/e"
"09.01.2022 22:00 - 09.01.2022 23:00","0","0","n/e","n/e","4859","n/e"
"09.01.2022 23:00 - 10.01.2022 00:00","0","0","n/e","n/e","5036","n/e"
"10.01.2022 00:00 - 10.01.2022 01:00","0","0","n/e","n/e","4341","n/e"
"10.01.2022 01:00 - 10.01.2022 02:00","0","0","n/e","n/e","4341","n/e"
