"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"03.01.2022 03:00 - 03.01.2022 03:15","0","0","6439","5791","31679","27740"
"03.01.2022 03:15 - 03.01.2022 03:30","0","0","6431","5798","31829","27470"
"03.01.2022 03:30 - 03.01.2022 03:45","0","0","6426","5773","32012","26958"
"03.01.2022 03:45 - 03.01.2022 04:00","0","0","6417","5880","32176","26787"
"03.01.2022 04:00 - 03.01.2022 04:15","0","0","6405","5769","32324","26518"
"03.01.2022 04:15 - 03.01.2022 04:30","0","0","6411","5766","32440","26841"
"03.01.2022 04:30 - 03.01.2022 04:45","0","0","6415","5669","32545","27545"
"03.01.2022 04:45 - 03.01.2022 05:00","0","0","6346","5670","32793","28260"
"03.01.2022 05:00 - 03.01.2022 05:15","0","0","6268","5783","33051","28568"
"03.01.2022 05:15 - 03.01.2022 05:30","0","0","6275","5988","33233","28787"
"03.01.2022 05:30 - 03.01.2022 05:45","0","0","6285","6158","33366","29519"
"03.01.2022 05:45 - 03.01.2022 06:00","0","0","6159","6246","33497","30564"
"03.01.2022 06:00 - 03.01.2022 06:15","0","0","6146","6052","34186","31933"
"03.01.2022 06:15 - 03.01.2022 06:30","0","0","6155","6007","34422","32179"
"03.01.2022 06:30 - 03.01.2022 06:45","0","0","6161","6001","34592","33650"
"03.01.2022 06:45 - 03.01.2022 07:00","0","0","6169","6020","34626","34194"
"03.01.2022 07:00 - 03.01.2022 07:15","0","0","6179","6106","34672","34543"
"03.01.2022 07:15 - 03.01.2022 07:30","0","0","6186","6113","34675","34861"
"03.01.2022 07:30 - 03.01.2022 07:45","0","0","6195","5928","34688","35551"
"03.01.2022 07:45 - 03.01.2022 08:00","0","0","6198","5905","34712","35542"
"03.01.2022 08:00 - 03.01.2022 08:15","6","4","6178","5925","34720","34491"
"03.01.2022 08:15 - 03.01.2022 08:30","46","41","6182","5930","34686","34274"
"03.01.2022 08:30 - 03.01.2022 08:45","317","263","6183","6008","34646","34995"
"03.01.2022 08:45 - 03.01.2022 09:00","561","472","6185","6025","34610","35134"
"03.01.2022 09:00 - 03.01.2022 09:15","890","769","6189","6047","34580","35549"
